"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6.66335137343,0.542268225648912,12.2879251600188,0.00116085056086468
"budget",1.59501684876953e-08,7.14799018243953e-09,2.23142003284785,0.111848882921866
